Comment,Description,Designator,Footprint,LibRef,Quantity,Part Number
"SZMMSZ4688T1G","Zener Diode","D4200_1, D4200_2, D4200_3, D4200_4, D4200_5, D4200_6, D4200_7, D4200_8, D6401, D7202","SOD-123_CASE-425-04-ISSUE-G","SZMMSZ4688T1G","10","SZMMSZ4688T1G"
"SMA6J60A-Q","TVS-Diode DO-214AC (SMA)","D4500_1, D4500_2, D4501_1, D4501_2, D4502_1, D4502_2, D4503_1, D4503_2","BOURNS_DO-214AC_SMA","SMA6J60A-Q","8","SMA6J60A-Q"
"DFLS1100Q-7","Schottky Diode","D7100, D7101, D7102, D7203","PowerDI123","DFLS1100Q-7","4","DFLS1100Q-7"
"DFLS130LQ-7","Schottky Diode","D7201","PowerDI123","DFLS130LQ-7","1","DFLS130LQ-7"
"SZMMSZ5237BT1G","Zener Diode","D7306_1, D7306_2","SOD-123_CASE-425-04-ISSUE-G","SZMMSZ5237BT1G","2","SZMMSZ5237BT1G"
"SZMMSZ5261BT1G","Zener Diode","D7307_1, D7307_2","SOD-123_CASE-425-04-ISSUE-G","SZMMSZ5261BT1G","2","SZMMSZ5261BT1G"
"SZNUP2301MW6T1G","TVS diode array","D8001","ONSEMI_SC-88_SOT-363","SZNUP2301MW6T1G","1","SZNUP2301MW6T1G"
"600?","Ferrite Bead","FB5000, FB5001, FB5002","RESC1005X04N","gen_Ferrite_600R_0402","3","gen_Ferrite_600R_0402"
"64900429522","","J2000, J2002, J2003, J2004, J2006, J2007, J2008, J2010, J2021, J2024, J2034","64900429522","CMP-1502-00518-2","11",""
"64900829522","","J2009","64900829522","CMP-1502-00520-2","1",""
"64900629522","","J2013","64900629522","CMP-1502-00519-2","1",""
"64900229522","","J2033","64900229522","CMP-1502-00517-2","1",""
"samtec_FTSH-103-01-L-DV","Board-To-Board Connector, 6pin, 1.27mm","J3000","SAMTEC_FTSH-103-01-L-DV","samtec_FTSH-103-01-L-DV","1","samtec_FTSH-103-01-L-DV"
"TE_2-5767004-2","Connector, SMT, 38 POS, MICTOR","J3008","TE_2-5767004-2","TE_2-5767004-2","1","TE_2-5767004-2"
"ERM8-020-09.0-L-DV-K-TR","Edge Rate rugged high-speed connector strips","J9000","SAMTEC_ERM8-020-09.0-L-DV-K","SAMTEC_ERM8-020-09.0-L-DV-K-TR","1","SAMTEC_ERM8-020-09.0-L-DV-K-TR"
"ERM8-030-09.0-L-DV-K-TR","Edge Rate rugged high-speed connector strips","J9001","SAMTEC_ERM8-030-09.0-L-DV-K","SAMTEC_ERM8-030-09.0-L-DV-K-TR","1","SAMTEC_ERM8-030-09.0-L-DV-K-TR"
"ERM8-060-09.0-L-DV-K-TR","Edge Rate rugged high-speed connector strips","J9002","SAMTEC_ERM8-060-09.0-L-DV-K","SAMTEC_ERM8-060-09.0-L-DV-K-TR","1","SAMTEC_ERM8-060-09.0-L-DV-K-TR"
"WE_615008137421","Modular Jack WR-MJ, Tab Up","J?","WE_615008137421","WE_615008137421","1","WE_615008137421"
"100uH","Common Mode Choke","L1100_1, L1100_2","MURATA_DLW32SH","DLW32SH101XF2L","2","DLW32SH101XF2L"
"10µH","Power Inductor","L1600","INDC2012X14N","LQM21DH100M70L","1","LQM21DH100M70L"
"2.2µH","Power Inductor","L7100","COILCRAFT_XAL1010","XAL1010-222MEB","1","XAL1010-222MEB"
"1µH","Power Inductor","L7200","ASPIAIG-S4035","ASPIAIG-S4035-1R0M-T","1","ASPIAIG-S4035-1R0M-T"
"6.8µH","Power Inductor","L7201","PA4342.XXXNLT_Footprint_2","PA4342.682NLT","1","PA4342.682NLT"
"4.7µH","Power Inductor","L7202","ASPIAIG-S4035","ASPIAIG-S4035-4R7M-T","1","ASPIAIG-S4035-4R7M-T"
"1µH","Power Inductor","L7203, L7204, L7205","TDK_TFM252012","TFM252012ALMA1R0MTAA","3","TFM252012ALMA1R0MTAA"
"DMP10H4D2S-7","MOSFET-Transistor, p-Kanal, 0.27 A, 100 V, 4.2 ohm","Q1101_1, Q1101_2, Q4400","SOT95P237X110-3N","DMP10H4D2S-7","3","DMP10H4D2S-7"
"SI2302CDS-T1-GE","MOSFET, N CHANNEL, 20V, 0.045OHM, 2.6A, TO-236","Q4200","SOT95P237X112-3N","SI2302CDS-T1-GE","1","SI2302CDS-T1-GE"
"DMN10H220L-7","MOSFET-Transistor, n-Kanal, 1.6 A, 100 V, 0.250 ohm","Q4401","SOT95P237X110-3N","DMN10H220L-7","1","DMN10H220L-7"
"STL115N10F7AG","N-Channel MOSFET, 100 V, 107 A, 5 mOhm","Q4402, Q7100, Q7101, Q7102, Q7103, Q7300_1, Q7300_2, Q7301_1, Q7301_2, Q8000","ST_PowerFLAT_5x6_WF_type_C","STL115N10F7AG","10","STL115N10F7AG"
"SP000870646","MOSFETs N-Ch 100V 190mA SOT-23-3","Q6400","SOT95P237X110-3N","SP000870646","1","SP000870646"
"BUK9K13-60EX","Dual N-channel 60 V, 12.5 mO logic level MOSFET","Q7202","NXP-SOT1205_N","BUK9K13-60EX","1","BUK9K13-60EX"
"SQ2309ES-T1_GE3","MOSFET-Transistor, p-channel, -1.7 A, -60 V","Q7203","SOT95P237X110-3N","SQ2309ES-T1_GE3","1","SQ2309ES-T1_GE3"
"ZXTN4240F-7","Single NPN Transistor","Q7302_1, Q7302_2","DIODES_SOT23_NPN","ZXTN4240F-7","2","ZXTN4240F-7"
"0R","SMD Resistor 0R 0402","R1100, R1101, R1102, R1106, R1107_1, R1107_2, R1108_1, R1108_2, R1208, R1209, R1210, R1211, R4408, R4410, R4514_1, R4514_2, R4515_1, R4515_2, R4516_1, R4516_2, R4517_1, R4517_2, R6602, R6603, R6606, R6607, R7219, R7247, R7248, R7249, R7310_1, R7310_2, R8026, R8027","RESC1005X04N","gen_R_0R_0402","34","gen_R_0R_0402"
"10k","SMD Resistor 10k 0402","R1103_1, R1103_2, R1104_1, R1104_2, R1105_1, R1105_2, R1109_1, R1109_2, R1114_1, R1114_2, R1116_1, R1116_2, R1117_1, R1117_2, R1223, R1601, R1602, R1603, R1604, R1605, R1606, R1607, R1608, R4201, R4401, R4402, R4403, R4412, R4413, R4500, R4504_1, R4504_2, R4505_1, R4505_2, R4506_1, R4506_2, R4507_1, R4507_2, R4509_1, R4509_2, R4510_1, R4510_2, R4511_1, R4511_2, R4512_1, R4512_2, R6100, R6101, R6302_1, R6302_2, R6302_3, R6303_1, R6303_2, R6303_3, R6304_1, R6304_2, R6304_3, R6305_1, R6305_2, R6305_3, R6306_1, R6306_2, R6306_3, R6307_1, R6307_2, R6307_3, R6308_1, R6308_2, R6308_3, R6309_1, R6309_2, R6309_3, R6310_1, R6310_2, R6310_3, R6311_1, R6311_2, R6311_3, R6312_1, R6312_2, R6312_3, R6313_1, R6313_2, R6313_3, R6314_1, R6314_2, R6314_3, R6315_1, R6315_2, R6315_3, R6316_1, R6316_2, R6316_3, R6317_1, R6317_2, R6317_3, R6318_1, R6318_2, R6318_3, R6319_1, R6319_2, R6319_3, R6320_1, R6320_2, R6320_3, R6321_1, R6321_2, R6321_3, R6322_1, R6322_2, R6322_3, R6323_1, R6323_2, R6323_3, R6324_1, R6324_2, R6324_3, R6325_1, R6325_2, R6325_3, R6326_1, R6326_2, R6326_3, R6327_1, R6327_2, R6327_3, R6328_1, R6328_2, R6328_3, R6329_1, R6329_2, R6329_3, R6330_1, R6330_2, R6330_3, R6331_1, R6331_2, R6331_3, R6332_1, R6332_2, R6332_3, R6333_1, R6333_2, R6333_3, R6334_1, R6334_2, R6334_3, R6335_1, R6335_2, R6335_3, R6400, R6401, R6600, R6601, R6605, R7005, R7006, R7105, R7106, R7200, R7201, R7203, R7204, R7230, R7239, R7245, R7246, R7308_1, R7308_2, R7309_1, R7309_2, R8001, R8003, R8005, R8006, R8007, R8008, R8009, R8015, R8020, R8024","RESC1005X04N","gen_R_10k_0402","181","gen_R_10k_0402"
"120R","SMD Resistor 120R 1206","R1110_1, R1110_2, R1111_1, R1111_2, R1112_1, R1112_2, R1113_1, R1113_2","RESC3216X06N","gen_R_120R_1206","8","gen_R_120R_1206"
"100R","SMD Resistor 100R 0402","R1115_1, R1115_2, R4200, R4400, R6407, R7101, R7102, R7107, R7109, R7202","RESC1005X04N","gen_R_100R_0402","10","gen_R_100R_0402"
